timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716467096489,4,Login,200,OK,Thread Group 1-3,text,true,,5262,1625,7,7,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467096489,2,Login-0,302,Found,Thread Group 1-3,,true,,193,940,7,7,http://localhost:8080/jpetstore/actions/Account.action,2,0,0
1716467096492,1,Login-1,200,OK,Thread Group 1-3,text,true,,5069,685,7,7,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1716467096516,4,Reptiles,200,OK,Thread Group 1-6,text,true,,3712,252,7,7,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,4,0,0
1716467096516,5,Login,200,OK,Thread Group 1-1,text,true,,5262,1625,7,7,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1716467096516,3,Login-0,302,Found,Thread Group 1-1,,true,,193,940,7,7,http://localhost:8080/jpetstore/actions/Account.action,3,0,0
1716467096519,2,Login-1,200,OK,Thread Group 1-1,text,true,,5069,685,7,7,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467096667,12,Home,200,OK,Thread Group 1-7,text,true,,1497,253,8,8,http://localhost:8080/jpetstore/,8,0,0
1716467096667,8,Home-0,302,Found,Thread Group 1-7,,true,,146,126,8,8,http://localhost:8080/jpetstore,8,0,0
1716467096675,4,Home-1,200,OK,Thread Group 1-7,text,true,,1351,127,8,8,http://localhost:8080/jpetstore/,4,0,0
1716467096668,11,Reptiles,200,OK,Thread Group 1-1,text,true,,3712,252,8,8,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,11,0,0
1716467096669,11,Sign Out,200,OK,Thread Group 1-6,text,true,,5255,1075,8,8,http://localhost:8080/jpetstore/actions/Catalog.action,8,0,0
1716467096669,8,Sign Out-0,302,Found,Thread Group 1-6,,true,,333,542,8,8,http://localhost:8080/jpetstore/actions/Account.action?signoff=,8,0,0
